segment_id,from_stop_id,from_stop_name,to_stop_id,to_stop_name,mode,duration,cost,route_name
SEG047,S018,Morrison Hall,S001,HKU Main Campus,HKU Shuttle Bus,7,2,HKU Shuttle (JV II <-> Main)
SEG048,S001,HKU Main Campus,S018,Morrison Hall,HKU Shuttle Bus,7,2,HKU Shuttle (Main <-> JV II)
SEG049,S019,Lady Ho Tung Hall,S001,HKU Main Campus,HKU Shuttle Bus,9,2,HKU Shuttle (JV I <-> Main)
SEG050,S001,HKU Main Campus,S019,Lady Ho Tung Hall,HKU Shuttle Bus,9,2,HKU Shuttle (Main <-> JV I)
SEG051,S020,Ricci Hall,S001,HKU Main Campus,Walking,4,0,Short walk
SEG052,S001,HKU Main Campus,S020,Ricci Hall,Walking,4,0,Short walk
SEG053,S020,Ricci Hall,S001,HKU Main Campus,HKU Shuttle Bus,6,2,HKU Shuttle (Ricci <-> Main)
SEG054,S001,HKU Main Campus,S020,Ricci Hall,HKU Shuttle Bus,6,2,HKU Shuttle (Main <-> Ricci)
SEG055,S021,Jockey Club Student Village III,S014,Kennedy Town MTR Station,Walking,4,0,Short walk to MTR
SEG056,S014,Kennedy Town MTR Station,S021,Jockey Club Student Village III,Walking,4,0,Short walk to campus
SEG057,S021,Jockey Club Student Village III,S001,HKU Main Campus,Citybus,15,9,Citybus 43X / 30X
SEG058,S001,HKU Main Campus,S021,Jockey Club Student Village III,Citybus,15,9,Citybus 43X / 30X
